Date,beta,alpha-1sigma,alpha,alpha+1sigma,real spread,spread too BIG,spread too SMALL,profit
2015-08-12,0.9491567979632249,3.1990441435688606,3.573652550139612,10.346349243848085,3.246574278290609,False,False,0
2015-08-13,0.9508924132868622,3.379307425681885,3.465322686930042,10.30995279954197,3.6528522754086907,False,False,0
2015-08-14,0.9477340076763322,2.850452677046757,4.052575902011377,10.95560448106951,3.780606872961812,False,False,0
2015-08-17,0.9458736050064267,2.474695320511482,4.475623758243286,11.425942836998054,4.329681001747076,False,False,0
2015-08-18,0.9461442519464757,2.5584923863476856,4.46233894323483,11.483170272817345,4.492092719096263,False,False,0
2015-08-19,0.9457358570641459,2.5145795849559427,4.553806402273367,11.622192389502677,4.521530957591608,False,False,0
2015-08-20,0.9454693388529972,2.6738205217097155,4.45224397747929,11.578308476668294,4.402529192207226,False,False,0
2015-08-21,0.9461514056133528,3.6980794736120597,3.2662294207829214,10.230538315177903,1.8876120370403449,False,True,0
2015-08-24,0.9451410536378261,1.6960336810844687,5.153841457823266,12.003716596731001,5.408862532325429,False,False,0
2015-08-25,0.9436282114694515,2.4388963349868495,4.469460728667768,11.377817792322386,4.116054525256573,False,False,0
2015-08-26,0.9503241736425346,4.992453302082479,1.4357931460024647,7.864039594087409,-1.0605317605538698,False,True,0
2015-08-27,0.9536825849303093,6.047888288428209,0.3752613854485949,6.798411059325399,-0.012166670387575296,False,True,0
2015-08-28,0.9548099153013085,6.136891650469122,0.3630947150610196,6.8630810805911615,-0.17485295454731262,False,True,0
2015-08-31,0.9542300768298999,6.378518723276437,0.18824176051370697,6.75500224430385,-1.950260061622525,False,True,0
2015-09-01,0.9531823855858386,8.35605263840329,-1.762018301108818,4.832016036185654,-0.9500441509598996,False,True,0
2015-09-02,0.9564537807300318,9.320121622817505,-2.7120624520687175,3.89599671868007,-0.013114828433057557,False,True,0
2015-09-03,0.9560221389276163,9.40779641549077,-2.725177280501775,3.95744185448722,0.41132100677980254,False,True,0
2015-09-04,0.958164066835017,9.065896436736512,-2.3138562737219726,4.438183889292567,-0.023928273786474552,False,True,0
2015-09-08,0.9582417261059413,9.088286624421734,-2.337784547508447,4.412717529404841,0.4182340550858532,False,True,0
2015-09-09,0.9556676553657588,8.733428943397806,-1.919550492422594,4.894327958552617,-0.5722907250437932,False,True,0
2015-09-10,0.9579034607300648,9.340984791319801,-2.491841217466387,4.357302356387027,-0.2425816261332585,False,True,0
2015-09-11,0.9589756748593777,9.630901965120604,-2.7344228435996456,4.162056277921312,-0.03605530704268789,False,True,0
2015-09-14,0.9593796766563206,9.736419459213232,-2.7704781506423335,4.195463157928566,0.10413411829683916,False,True,0
2015-09-15,0.9590397484712612,9.63559838439229,-2.6663440323454943,4.302910319701301,-0.12334520817781813,False,True,0
2015-09-16,0.9597147459890415,9.816855151813751,-2.7896892405233125,4.237476670767127,-0.5276663051315622,False,True,0
2015-09-17,0.9618602367843653,10.383888275253643,-3.3173555456548747,3.749177183943894,-0.5980847958313475,False,True,0
2015-09-18,0.9587582156961292,11.047424680542482,-3.915440341486222,3.2165439975700374,0.048849078487365194,True,True,0
2015-09-21,0.9585366315260181,11.04603914138638,-3.866591262998857,3.312856615388667,0.16157850125495932,True,True,0
2015-09-22,0.9588551481689703,10.9371418515755,-3.7050127617438977,3.5271163280877045,0.043369639935695314,True,True,0
2015-09-23,0.9583454174939445,10.960254536844122,-3.6616431218082024,3.636968293227718,-0.5087612100729446,True,True,0
2015-09-24,0.9614694288203002,11.52763354853062,-4.170404331881147,3.186824884768325,0.33391383406592645,True,True,0
2015-09-25,0.96180196817142,11.231449971185794,-3.8364904978152206,3.5584689755553534,-1.2809129963411054,True,True,0
2015-09-28,0.9616271599207405,12.515407031799212,-5.117403494156326,2.28060004348656,0.09063408600611389,True,True,0
2015-09-29,0.9632933442508321,12.491137893917534,-5.026769408150212,2.4375990776171097,1.4641768467945537,True,True,0
2015-09-30,0.9590475521410702,10.983225977897021,-3.5625925613556584,3.8580408551857035,0.4466810750136432,False,True,0
2015-10-01,0.9572397825338638,10.572461847550835,-3.115911486342015,4.340638874866805,-1.1117505442938969,False,True,0
2015-10-02,0.960382551450371,11.633922550171476,-4.227662030635912,3.1785984888996532,-0.623333183225391,True,True,0
2015-10-05,0.9621056386597279,12.199596660076875,-4.850995213861303,2.4976062323542676,-1.4046144819177755,True,True,0
2015-10-06,0.9693672500393942,13.65707361297432,-6.2556096957790785,1.1458542214161636,0.14623561515941397,True,True,0
2015-10-07,0.9680630065004852,13.574135374464836,-6.109374080619665,1.355387213225507,0.032910539131053795,True,True,0
2015-10-08,0.9674710311176766,13.606761526658834,-6.076463541488611,1.4538344436816129,-0.11265203936902513,True,True,0
2015-10-09,0.9679935445374346,13.765790152662422,-6.189115580857636,1.3875589909471504,0.9489607456485727,True,True,0
2015-10-12,0.9641795767340238,12.852440502087026,-5.240154835209063,2.3721308316688994,0.666790966827131,True,True,0
2015-10-13,0.9617585170625231,12.209668513741393,-4.573363868381932,3.0629407769775288,-0.21019848028278254,True,True,0
2015-10-14,0.9637453795123723,12.481667391282043,-4.783562348664715,2.9145426939526136,1.0733504100161944,True,True,0
2015-10-15,0.9605000779034927,11.394784700785634,-3.7102119386485204,3.974360823488593,0.8109967240814147,False,True,0
2015-10-16,0.956938458782595,10.626258430305082,-2.8992152145671057,4.82782800117087,0.37751391338190876,False,True,0
2015-10-19,0.9554058363604696,10.285155551365762,-2.521701301185197,5.2417529489953685,2.0217459917613456,False,True,0
